date_calculated,date_end,slice,state,city,market,cbsa,geo_code,population,current_price,loan,equity,market_cagr,noi_cap_rate_compounded,fixed_interest_rate,operation_cashflow,market_cap_appreciation_bp,irr,npv,equity_multiple,demand_vs_supply,demand_yoy_growth,supply_yoy_growth,horizon
2025-03-31,2030-03-31,Class B,Utah,Provo,"Provo,Utah",39340,G2-39340,766339.4375,258228.2756,180759.79291999998,77468.48268000002,0.056929661295277434,0.03480995581373779,0.07150000000000001,-0.03669004418626222,62.33904510736403,0.11682876631555761,19467.04608461284,1.809187164637113,0.9245266812358756,0.043810761555015176,0.031339502743187975,5 Yrs Ahead (2025-2030)
2025-03-31,2030-03-31,Class C,Utah,Provo,"Provo,Utah",39340,G2-39340,766339.4375,129835.8764,90885.11347999999,38950.76292000001,0.055491713390882325,0.051912300289304,0.07150000000000001,-0.01958769971069601,63.37318569421803,0.15597367514285088,17982.215838698015,2.064400272109196,0.9571415283071378,0.0027126988413606057,-0.0007062569581189893,5 Yrs Ahead (2025-2030)
2025-03-31,2030-03-31,Class A,North Carolina,Raleigh,"Raleigh,North Carolina",39580,G2-39580,1576744.0,295182.2108,206627.54755999998,88554.66324000002,0.060072376949107165,0.031079142160046192,0.07150000000000001,-0.04042085783995382,45.173317193984985,0.11510677646223555,21803.73762687696,1.8127607398278622,0.8747747002650675,0.057367594795492804,0.03659633127479256,5 Yrs Ahead (2025-2030)
2025-03-31,2030-03-31,Class B,North Carolina,Raleigh,"Raleigh,North Carolina",39580,G2-39580,1576744.0,232151.9662,162506.37634,69645.58986000001,0.0595428518028136,0.03548860295367741,0.07150000000000001,-0.0360113970463226,45.10473459958995,0.12462700644554991,20779.95351216424,1.8751179500080797,0.8927142729630679,0.03263747802727468,0.028462878279988946,5 Yrs Ahead (2025-2030)
2025-03-31,2030-03-31,Class C,North Carolina,Raleigh,"Raleigh,North Carolina",39580,G2-39580,1576744.0,152836.08,106985.25599999998,45850.82400000001,0.06063445954292823,0.046659260718329265,0.07150000000000001,-0.024840739281670743,45.447796583175936,0.15475003255530506,21387.32667041596,2.084272103799861,0.9227809087783396,-0.004684512707351707,-0.002407318109187262,5 Yrs Ahead (2025-2030)
2025-03-31,2030-03-31,Class A,Nevada,Reno,"Reno,Nevada",39900,G2-39900,515061.28125,309875.8229,216913.07603,92962.74687000003,0.061704290970899356,0.03543096817224655,0.07150000000000001,-0.03606903182775346,60.66482514142997,0.13003587320459142,30767.69735863361,1.919744029631942,0.9310388818429197,0.02294645130956252,0.02077914226915145,5 Yrs Ahead (2025-2030)
2025-03-31,2030-03-31,Class B,Nevada,Reno,"Reno,Nevada",39900,G2-39900,515061.28125,262800.3896,183960.27271999998,78840.11688000002,0.0611694811924135,0.03855545614731875,0.07150000000000001,-0.03294454385268126,60.70118397474206,0.1362473057939475,28771.89329649281,1.960504603277871,0.9443383274229789,0.02359296659344645,0.014173814082262481,5 Yrs Ahead (2025-2030)
2025-03-31,2030-03-31,Class C,Nevada,Reno,"Reno,Nevada",39900,G2-39900,515061.28125,160137.8578,112096.50046,48041.35734,0.059906129705057154,0.04757175325290147,0.07150000000000001,-0.023928246747098536,61.57599389553105,0.15545552887222058,22499.20240528976,2.084139677933986,0.9462690021811129,0.002736615655039243,-0.00029894755207571233,5 Yrs Ahead (2025-2030)
2025-03-31,2030-03-31,Class A,Virginia,Richmond,"Richmond,Virginia",40060,G2-40060,1402078.0,254953.1399,178467.19793,76485.94197000001,0.04920463808078379,0.037397583883564824,0.07150000000000001,-0.034102416116435184,58.316662907600055,0.10402736018378067,13312.94499925946,1.6939765419871105,0.9035274573962455,0.04520617592011633,0.038546387568558105,5 Yrs Ahead (2025-2030)
2025-03-31,2030-03-31,Class B,Virginia,Richmond,"Richmond,Virginia",40060,G2-40060,1402078.0,204831.7235,143382.20645,61449.517049999995,0.04926681589329873,0.04206399959070416,0.07150000000000001,-0.02943600040929585,58.16344171762404,0.1162750493416338,14672.681093021441,1.7730060990196364,0.9158811479322935,0.022812318601454606,0.02009304924408295,5 Yrs Ahead (2025-2030)
